restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d12826485,A Minha Cozinha,Lisbon,Unknown,1.0,3.5,5.0,3198.0,0.2677642663260135,71.93915752520559,97.65516301344215
d8533986,Espumantaria do Cais,Lisbon,European,1.0,3.5,36.0,3199.0,0.34924257482739224,71.93915752520559,97.65516301344215
d10326152,O Conchas,Lisbon,Unknown,1.0,3.0,16.0,3200.0,0.27690991408243704,71.93915752520559,97.65516301344215
d8745268,Leitaria Academica,Lisbon,European,1.0,3.5,21.0,3201.0,0.3259577998940025,71.93915752520559,97.65516301344215
d7142986,MO Petiscaria,Lisbon,Mediterranean,1.0,4.0,41.0,3202.0,0.3924195725899366,71.93915752520559,97.65516301344215
d2322692,Fixe Mix,Lisbon,Healthy,1.0,3.5,3.0,3203.0,0.2496037319071252,71.93915752520559,97.65516301344215
d3968225,Merca-Tudo,Lisbon,European,1.0,3.5,11.0,3204.0,0.29880947884723624,71.93915752520559,97.65516301344215
d12611429,Sea Me at the Market,Lisbon,Unknown,1.0,3.0,17.0,3205.0,0.2794698375655046,71.93915752520559,97.65516301344215
d9770186,Home Sweet Sushi - Laranjeiras,Lisbon,Japanese,1.0,3.5,35.0,3206.0,0.3480151966013106,71.93915752520559,97.65516301344215
d7009055,Oh Nesta Mente,Lisbon,Unknown,1.0,4.0,6.0,3207.0,0.31216826205632203,71.93915752520559,97.65516301344215
d10838882,SUSHICOME - Roma,Lisbon,Sushi,1.0,3.5,6.0,3208.0,0.274668232888447,71.93915752520559,97.65516301344215
d8779567,Paco D'agua,Lisbon,Cafe,1.0,3.0,54.0,3209.0,0.32949733711773227,71.93915752520559,97.65516301344215
d8397890,Kitsch'n Live,Lisbon,Unknown,1.0,3.5,4.0,3210.0,0.25959791029556134,71.93915752520559,97.65516301344215
d1988012,Restaurante Xi-Hu,Lisbon,Chinese,1.0,3.5,16.0,3211.0,0.3144095928343784,71.93915752520559,97.65516301344215
d2276096,Restaurante Piri Piri,Lisbon,Seafood,1.0,3.0,197.0,3212.0,0.3868690312080294,71.93915752520559,97.65516301344215
d8299167,O Bolo Da Nonna,Lisbon,Unknown,1.0,4.5,10.0,3213.0,0.36991206152904593,71.93915752520559,97.65516301344215
d7053033,Palacio do Mar,Lisbon,Chinese,1.0,3.5,15.0,3214.0,0.3116941877397111,71.93915752520559,97.65516301344215
d7596075,Pizzeria Di Casa,Lisbon,Italian,1.0,3.5,46.0,3215.0,0.3599569731527789,71.93915752520559,97.65516301344215
d8802922,Narezushi,Lisbon,Unknown,1.0,4.0,17.0,3216.0,0.3544695173172867,71.93915752520559,97.65516301344215
d6908476,Meson de Tapas,Lisbon,Mediterranean,1.0,3.0,37.0,3217.0,0.31293649482128233,71.93915752520559,97.65516301344215
d6420536,Restaurante Japones Samurai,Lisbon,Japanese,1.0,3.5,19.0,3218.0,0.32168845437525806,71.93915752520559,97.65516301344215
d8461901,Saudade Fado Bar,Lisbon,Unknown,1.0,3.5,4.0,3219.0,0.2595976489262396,71.93915752520559,97.65516301344215
d12084859,Il Matriciano Al Mare,Lisbon,Italian,1.0,3.0,9.0,3220.0,0.25314300821548297,71.93915752520559,97.65516301344215
d7701376,Restaurante Mariazinha,Lisbon,European,1.0,4.0,10.0,3221.0,0.33241182956181015,71.93915752520559,97.65516301344215
d8697182,Mr. Coco,Lisbon,Unknown,1.0,3.5,4.0,3222.0,0.2595975621276132,71.93915752520559,97.65516301344215
d5959945,Mcdonald's,Lisbon,American,1.0,3.5,86.0,3223.0,0.3875360562968798,71.93915752520559,97.65516301344215
d1572944,Restaurante Sagresjaria,Lisbon,Unknown,1.0,4.0,8.0,3224.0,0.3234238975419978,71.93915752520559,97.65516301344215
d10164556,Prego de Ouro Restaurante Cervejaria,Lisbon,European,1.0,3.5,2.0,3225.0,0.23671809249999443,71.93915752520559,97.65516301344215
